symbol,date,price
95,Jan 2003,16.8
95,Feb 2003,17.07
95,Mar 2003,16.99
95,Apr 2003,16.86
95,May 2003,16.25
95,Jun 2003,15.41
95,Jul 2003,16.34
95,Aug 2003,17.19
95,Sep 2003,16.36
95,Oct 2003,16.32
95,Nov 2003,16.58
95,Dec 2003,17.05
95,Jan 2004,17.11
95,Feb 2004,16.99
95,Mar 2004,16.99
95,Apr 2004,16.99
95,May 2004,17.47
95,Jun 2004,18.31
95,Jul 2004,18.85
95,Aug 2004,20.63
95,Sep 2004,21.79
95,Oct 2004,22.02
95,Nov 2004,21.62
95,Dec 2004,19.86
95,Jan 2005,19.37
95,Feb 2005,20.13
95,Mar 2005,21.91
95,Apr 2005,22.74
95,May 2005,22.4
95,Jun 2005,23.17
95,Jul 2005,25.56
95,Aug 2005,26.05
95,Sep 2005,27.38
95,Oct 2005,27.18
95,Nov 2005,25.44
95,Dec 2005,25.46
95,Jan 2006,26.72
95,Feb 2006,26.51
95,Mar 2006,26.9
95,Apr 2006,28.02
95,May 2006,29.11
95,Jun 2006,29.69
95,Jul 2006,30.07
95,Aug 2006,29.67
95,Sep 2006,26.88
95,Oct 2006,25.64
95,Nov 2006,25.55
95,Dec 2006,26.19
95,Jan 2007,25.71
95,Feb 2007,25.63
95,Mar 2007,27.34
95,Apr 2007,28.68
95,May 2007,29.99
95,Jun 2007,30.01
95,Jul 2007,29.85
95,Aug 2007,28.53
95,Sep 2007,29.39
95,Oct 2007,30.31
95,Nov 2007,32.08
95,Dec 2007,32.67
95,Jan 2008,33.17
95,Feb 2008,32.94
95,Mar 2008,34.05
95,Apr 2008,35.4
95,May 2008,38.26
95,Jun 2008,41.64
95,Jul 2008,42.69
95,Aug 2008,38.62
95,Sep 2008,37.84
95,Oct 2008,34.42
95,Nov 2008,28.68
95,Dec 2008,26.28
95,Jan 2009,30
95,Feb 2009,34.41
95,Mar 2009,34.44
95,Apr 2009,36.2
95,May 2009,37.4
95,Jun 2009,38.93
95,Jul 2009,38.46
95,Aug 2009,40.39
95,Sep 2009,39.68
95,Oct 2009,39.09
95,Nov 2009,40.48
95,Dec 2009,40.16
95,Jan 2010,41.06
95,Feb 2010,41.51
95,Mar 2010,42.29
95,Apr 2010,42.72
95,May 2010,41.51
95,Jun 2010,40.57
95,Jul 2010,40.52
95,Aug 2010,40.68
95,Sep 2010,39.6
95,Oct 2010,40.54
95,Nov 2010,41.34
95,Dec 2010,42.75
95,Jan 2011,44.04
95,Feb 2011,45.1
95,Mar 2011,47.29
95,Apr 2011,48.71
95,May 2011,48.61
95,Jun 2011,47.97
95,Jul 2011,48.59
95,Aug 2011,46.33
95,Sep 2011,40.39
95,Oct 2011,40.14
95,Nov 2011,39.51
95,Dec 2011,39.02
95,Jan 2012,41.79
95,Feb 2012,43.94
95,Mar 2012,45.97
95,Apr 2012,47.31
95,May 2012,46
95,Jun 2012,44.5
95,Jul 2012,46.03
95,Aug 2012,48.22
95,Sep 2012,48.09
95,Oct 2012,48.37
95,Nov 2012,48.11
95,Dec 2012,48.67
95,Jan 2013,47.03
95,Feb 2013,48.41
95,Mar 2013,47.33
95,Apr 2013,45.05
95,May 2013,44.82
95,Jun 2013,46.02
95,Jul 2013,47.62
95,Aug 2013,46.98
95,Sep 2013,47.06
95,Oct 2013,46.4
95,Nov 2013,46.55
95,Dec 2013,47.65
95,Jan 2014,48.54
95,Feb 2014,48.42
95,Mar 2014,48.67
95,Apr 2014,48.78
95,May 2014,49.24
95,Jun 2014,49.18
95,Jul 2014,49.18
95,Aug 2014,48.67
95,Sep 2014,44.87
95,Oct 2014,43.98
95,Nov 2014,42.39
95,Dec 2014,38.85
95,Jan 2015,35.38
95,Feb 2015,35.44
95,Mar 2015,35.5
95,Apr 2015,33.95
95,May 2015,35.03
95,Jun 2015,35.73
DIESEL-HSD,Jan 2003,14.65
DIESEL-HSD,Feb 2003,14.87
DIESEL-HSD,Mar 2003,14.79
DIESEL-HSD,Apr 2003,14.66
DIESEL-HSD,May 2003,14.01
DIESEL-HSD,Jun 2003,12.84
DIESEL-HSD,Jul 2003,13.03
DIESEL-HSD,Aug 2003,13.64
DIESEL-HSD,Sep 2003,13.63
DIESEL-HSD,Oct 2003,13.77
DIESEL-HSD,Nov 2003,14.08
DIESEL-HSD,Dec 2003,14.39
DIESEL-HSD,Jan 2004,14.55
DIESEL-HSD,Feb 2004,14.59
DIESEL-HSD,Mar 2004,14.59
DIESEL-HSD,Apr 2004,14.59
DIESEL-HSD,May 2004,14.59
DIESEL-HSD,Jun 2004,14.59
DIESEL-HSD,Jul 2004,14.59
DIESEL-HSD,Aug 2004,14.59
DIESEL-HSD,Sep 2004,14.59
DIESEL-HSD,Oct 2004,14.59
DIESEL-HSD,Nov 2004,14.59
DIESEL-HSD,Dec 2004,14.59
DIESEL-HSD,Jan 2005,14.59
DIESEL-HSD,Feb 2005,14.76
DIESEL-HSD,Mar 2005,16.06
DIESEL-HSD,Apr 2005,18.19
DIESEL-HSD,May 2005,18.19
DIESEL-HSD,Jun 2005,19.37
DIESEL-HSD,Jul 2005,22.49
DIESEL-HSD,Aug 2005,22.9
DIESEL-HSD,Sep 2005,23.86
DIESEL-HSD,Oct 2005,24.05
DIESEL-HSD,Nov 2005,22.94
DIESEL-HSD,Dec 2005,23.01
DIESEL-HSD,Jan 2006,24.17
DIESEL-HSD,Feb 2006,24.42
DIESEL-HSD,Mar 2006,25.36
DIESEL-HSD,Apr 2006,26.27
DIESEL-HSD,May 2006,26.45
DIESEL-HSD,Jun 2006,27.33
DIESEL-HSD,Jul 2006,27.79
DIESEL-HSD,Aug 2006,27.55
DIESEL-HSD,Sep 2006,26.05
DIESEL-HSD,Oct 2006,24.19
DIESEL-HSD,Nov 2006,23.87
DIESEL-HSD,Dec 2006,23.62
DIESEL-HSD,Jan 2007,22.76
DIESEL-HSD,Feb 2007,23.1
DIESEL-HSD,Mar 2007,23.62
DIESEL-HSD,Apr 2007,24.83
DIESEL-HSD,May 2007,25.34
DIESEL-HSD,Jun 2007,25.34
DIESEL-HSD,Jul 2007,25.61
DIESEL-HSD,Aug 2007,25.44
DIESEL-HSD,Sep 2007,26.58
DIESEL-HSD,Oct 2007,27.47
DIESEL-HSD,Nov 2007,28.8
DIESEL-HSD,Dec 2007,29.07
DIESEL-HSD,Jan 2008,29.43
DIESEL-HSD,Feb 2008,29.29
DIESEL-HSD,Mar 2008,30.62
DIESEL-HSD,Apr 2008,32.32
DIESEL-HSD,May 2008,35.72
DIESEL-HSD,Jun 2008,41.02
DIESEL-HSD,Jul 2008,42.57
DIESEL-HSD,Aug 2008,34.37
DIESEL-HSD,Sep 2008,31.7
DIESEL-HSD,Oct 2008,26.22
DIESEL-HSD,Nov 2008,22.22
DIESEL-HSD,Dec 2008,19.67
DIESEL-HSD,Jan 2009,18.63
DIESEL-HSD,Feb 2009,19.59
DIESEL-HSD,Mar 2009,20.99
DIESEL-HSD,Apr 2009,23.05
DIESEL-HSD,May 2009,23.84
DIESEL-HSD,Jun 2009,26.68
DIESEL-HSD,Jul 2009,26.96
DIESEL-HSD,Aug 2009,28.18
DIESEL-HSD,Sep 2009,26.83
DIESEL-HSD,Oct 2009,26.67
DIESEL-HSD,Nov 2009,28.19
DIESEL-HSD,Dec 2009,27.63
DIESEL-HSD,Jan 2010,28.09
DIESEL-HSD,Feb 2010,27.93
DIESEL-HSD,Mar 2010,28.94
DIESEL-HSD,Apr 2010,29.67
DIESEL-HSD,May 2010,29.2
DIESEL-HSD,Jun 2010,28.06
DIESEL-HSD,Jul 2010,28.24
DIESEL-HSD,Aug 2010,28.58
DIESEL-HSD,Sep 2010,27.79
DIESEL-HSD,Oct 2010,28.58
DIESEL-HSD,Nov 2010,29.28
DIESEL-HSD,Dec 2010,29.93
DIESEL-HSD,Jan 2011,30.01
DIESEL-HSD,Feb 2011,30.1
DIESEL-HSD,Mar 2011,30
DIESEL-HSD,Apr 2011,30.03
DIESEL-HSD,May 2011,29.99
DIESEL-HSD,Jun 2011,30.01
DIESEL-HSD,Jul 2011,30.02
DIESEL-HSD,Aug 2011,29.52
DIESEL-HSD,Sep 2011,28
DIESEL-HSD,Oct 2011,27.79
DIESEL-HSD,Nov 2011,28.86
DIESEL-HSD,Dec 2011,29.12
DIESEL-HSD,Jan 2012,30.46
DIESEL-HSD,Feb 2012,31.31
DIESEL-HSD,Mar 2012,32.12
DIESEL-HSD,Apr 2012,32.06
DIESEL-HSD,May 2012,30.54
DIESEL-HSD,Jun 2012,29.58
DIESEL-HSD,Jul 2012,29.74
DIESEL-HSD,Aug 2012,29.89
DIESEL-HSD,Sep 2012,29.95
DIESEL-HSD,Oct 2012,29.79
DIESEL-HSD,Nov 2012,29.79
DIESEL-HSD,Dec 2012,29.79
DIESEL-HSD,Jan 2013,29.79
DIESEL-HSD,Feb 2013,29.95
DIESEL-HSD,Mar 2013,29.99
DIESEL-HSD,Apr 2013,29.99
DIESEL-HSD,May 2013,29.99
DIESEL-HSD,Jun 2013,29.99
DIESEL-HSD,Jul 2013,29.99
DIESEL-HSD,Aug 2013,29.99
DIESEL-HSD,Sep 2013,29.99
DIESEL-HSD,Oct 2013,29.99
DIESEL-HSD,Nov 2013,29.99
DIESEL-HSD,Dec 2013,29.99
DIESEL-HSD,Jan 2014,29.99
DIESEL-HSD,Feb 2014,29.99
DIESEL-HSD,Mar 2014,29.99
DIESEL-HSD,Apr 2014,29.99
DIESEL-HSD,May 2014,29.99
DIESEL-HSD,Jun 2014,29.91
DIESEL-HSD,Jul 2014,29.85
DIESEL-HSD,Aug 2014,29.86
DIESEL-HSD,Sep 2014,29.99
DIESEL-HSD,Oct 2014,29.66
DIESEL-HSD,Nov 2014,29.42
DIESEL-HSD,Dec 2014,27.64
DIESEL-HSD,Jan 2015,25.83
DIESEL-HSD,Feb 2015,26.27
DIESEL-HSD,Mar 2015,26.77
DIESEL-HSD,Apr 2015,25.26
DIESEL-HSD,May 2015,26.07
DIESEL-HSD,Jun 2015,25.9
DIESEL-LSD,Jan 2003,13.73
DIESEL-LSD,Feb 2003,14.35
DIESEL-LSD,Mar 2003,14.53
DIESEL-LSD,Apr 2003,14.52
DIESEL-LSD,May 2003,14.39
DIESEL-LSD,Jun 2003,13.74
DIESEL-LSD,Jul 2003,12.57
DIESEL-LSD,Aug 2003,12.76
DIESEL-LSD,Sep 2003,13.36
DIESEL-LSD,Oct 2003,13.37
DIESEL-LSD,Nov 2003,13.5
DIESEL-LSD,Dec 2003,13.5
DIESEL-LSD,Jan 2004,14.11
DIESEL-LSD,Feb 2004,14.32
DIESEL-LSD,Mar 2004,14.37
DIESEL-LSD,Apr 2004,14.37
DIESEL-LSD,May 2004,14.37
DIESEL-LSD,Jun 2004,14.37
DIESEL-LSD,Jul 2004,14.37
DIESEL-LSD,Aug 2004,14.37
DIESEL-LSD,Sep 2004,14.37
DIESEL-LSD,Oct 2004,14.37
DIESEL-LSD,Nov 2004,14.37
DIESEL-LSD,Dec 2004,14.37
DIESEL-LSD,Jan 2005,14.37
DIESEL-LSD,Feb 2005,14.37
DIESEL-LSD,Mar 2005,14.37
DIESEL-LSD,Apr 2005,16.08
DIESEL-LSD,May 2005,18.21
DIESEL-LSD,Jun 2005,18.21
DIESEL-LSD,Jul 2005,18.51
DIESEL-LSD,Aug 2005,19.48
DIESEL-LSD,Sep 2005,19.68
DIESEL-LSD,Oct 2005,19.93
DIESEL-LSD,Nov 2005,19.99
DIESEL-LSD,Dec 2005,19.66
DIESEL-LSD,Jan 2006,19.67
DIESEL-LSD,Feb 2006,23.88
DIESEL-LSD,Mar 2006,24.13
DIESEL-LSD,Apr 2006,25.07
DIESEL-LSD,May 2006,26.03
DIESEL-LSD,Jun 2006,26.19
DIESEL-LSD,Jul 2006,27.15
DIESEL-LSD,Aug 2006,27.63
DIESEL-LSD,Sep 2006,27.35
DIESEL-LSD,Oct 2006,25.86
DIESEL-LSD,Nov 2006,24
DIESEL-LSD,Dec 2006,23.68
DIESEL-LSD,Jan 2007,23.43
DIESEL-LSD,Feb 2007,22.57
DIESEL-LSD,Mar 2007,22.91
DIESEL-LSD,Apr 2007,23.43
DIESEL-LSD,May 2007,24.64
DIESEL-LSD,Jun 2007,25.15
DIESEL-LSD,Jul 2007,25.15
DIESEL-LSD,Aug 2007,25.15
DIESEL-LSD,Sep 2007,25.25
DIESEL-LSD,Oct 2007,26.39
DIESEL-LSD,Nov 2007,27.28
DIESEL-LSD,Dec 2007,28.63
DIESEL-LSD,Jan 2008,28.88
DIESEL-LSD,Feb 2008,29.06
DIESEL-LSD,Mar 2008,29.2
DIESEL-LSD,Apr 2008,30.56
DIESEL-LSD,May 2008,32.3
DIESEL-LSD,Jun 2008,36.13
DIESEL-LSD,Jul 2008,41.52
DIESEL-LSD,Aug 2008,43.68
DIESEL-LSD,Sep 2008,37.48
DIESEL-LSD,Oct 2008,34.86
DIESEL-LSD,Nov 2008,29.48
DIESEL-LSD,Dec 2008,27.04
DIESEL-LSD,Jan 2009,27.04
DIESEL-LSD,Feb 2009,27.04
DIESEL-LSD,Mar 2009,27.04
DIESEL-LSD,Apr 2009,27.04
DIESEL-LSD,May 2009,27.04
DIESEL-LSD,Jun 2009,27.04
DIESEL-LSD,Jul 2009,27.04
DIESEL-LSD,Aug 2009,27.04
DIESEL-LSD,Sep 2009,27.04
DIESEL-LSD,Oct 2009,27.04
DIESEL-LSD,Nov 2009,27.04
DIESEL-LSD,Dec 2009,27.04
DIESEL-LSD,Jan 2010,27.04
DIESEL-LSD,Feb 2010,27.04
DIESEL-LSD,Mar 2010,27.04
DIESEL-LSD,Apr 2010,27.04
DIESEL-LSD,May 2010,27.04
DIESEL-LSD,Jun 2010,27.04
DIESEL-LSD,Jul 2010,27.04
DIESEL-LSD,Aug 2010,27.04
DIESEL-LSD,Sep 2010,27.04
DIESEL-LSD,Oct 2010,27.04
DIESEL-LSD,Nov 2010,27.04
DIESEL-LSD,Dec 2010,27.04
DIESEL-LSD,Jan 2011,27.04
DIESEL-LSD,Feb 2011,27.04
DIESEL-LSD,Mar 2011,27.04
DIESEL-LSD,Apr 2011,27.04
DIESEL-LSD,May 2011,27.04
DIESEL-LSD,Jun 2011,27.04
DIESEL-LSD,Jul 2011,27.04
DIESEL-LSD,Aug 2011,27.04
DIESEL-LSD,Sep 2011,27.04
DIESEL-LSD,Oct 2011,27.04
DIESEL-LSD,Nov 2011,27.04
DIESEL-LSD,Dec 2011,27.04
DIESEL-LSD,Jan 2012,27.04
DIESEL-LSD,Feb 2012,27.04
DIESEL-LSD,Mar 2012,27.04
DIESEL-LSD,Apr 2012,27.04
DIESEL-LSD,May 2012,27.04
DIESEL-LSD,Jun 2012,27.04
DIESEL-LSD,Jul 2012,27.04
DIESEL-LSD,Aug 2012,27.04
DIESEL-LSD,Sep 2012,27.04
DIESEL-LSD,Oct 2012,27.04
DIESEL-LSD,Nov 2012,27.04
DIESEL-LSD,Dec 2012,27.04
DIESEL-LSD,Jan 2013,27.04
DIESEL-LSD,Feb 2013,27.04
DIESEL-LSD,Mar 2013,27.04
DIESEL-LSD,Apr 2013,27.04
DIESEL-LSD,May 2013,27.04
DIESEL-LSD,Jun 2013,27.04
DIESEL-LSD,Jul 2013,27.04
DIESEL-LSD,Aug 2013,27.04
DIESEL-LSD,Sep 2013,27.04
DIESEL-LSD,Oct 2013,27.04
DIESEL-LSD,Nov 2013,27.04
DIESEL-LSD,Dec 2013,27.04
DIESEL-LSD,Jan 2014,27.04
DIESEL-LSD,Feb 2014,27.04
DIESEL-LSD,Mar 2014,27.04
DIESEL-LSD,Apr 2014,27.04
DIESEL-LSD,May 2014,27.04
DIESEL-LSD,Jun 2014,27.04
DIESEL-LSD,Jul 2014,27.04
DIESEL-LSD,Aug 2014,27.04
DIESEL-LSD,Sep 2014,27.04
DIESEL-LSD,Oct 2014,27.04
DIESEL-LSD,Nov 2014,27.04
DIESEL-LSD,Dec 2014,27.04
DIESEL-LSD,Jan 2015,27.04
DIESEL-LSD,Feb 2015,27.04
DIESEL-LSD,Mar 2015,27.04
DIESEL-LSD,Apr 2015,27.04
DIESEL-LSD,May 2015,27.04
DIESEL-LSD,Jun 2015,27.04
E10,Jan 2003,0
E10,Feb 2003,0
E10,Mar 2003,0
E10,Apr 2003,0
E10,May 2003,0
E10,Jun 2003,0
E10,Jul 2003,0
E10,Aug 2003,0
E10,Sep 2003,0
E10,Oct 2003,0
E10,Nov 2003,0
E10,Dec 2003,0
E10,Jan 2004,0
E10,Feb 2004,0
E10,Mar 2004,0
E10,Apr 2004,0
E10,May 2004,0
E10,Jun 2004,0
E10,Jul 2004,0
E10,Aug 2004,0
E10,Sep 2004,0
E10,Oct 2004,0
E10,Nov 2004,0
E10,Dec 2004,0
E10,Jan 2005,0
E10,Feb 2005,0
E10,Mar 2005,0
E10,Apr 2005,0
E10,May 2005,0
E10,Jun 2005,0
E10,Jul 2005,0
E10,Aug 2005,0
E10,Sep 2005,0
E10,Oct 2005,0
E10,Nov 2005,0
E10,Dec 2005,0
E10,Jan 2006,0
E10,Feb 2006,0
E10,Mar 2006,0
E10,Apr 2006,0
E10,May 2006,0
E10,Jun 2006,0
E10,Jul 2006,0
E10,Aug 2006,0
E10,Sep 2006,0
E10,Oct 2006,0
E10,Nov 2006,0
E10,Dec 2006,0
E10,Jan 2007,24.21
E10,Feb 2007,23.9
E10,Mar 2007,25.12
E10,Apr 2007,26.18
E10,May 2007,26.86
E10,Jun 2007,26.71
E10,Jul 2007,26.39
E10,Aug 2007,25.03
E10,Sep 2007,25.89
E10,Oct 2007,26.81
E10,Nov 2007,28.34
E10,Dec 2007,28.62
E10,Jan 2008,29.17
E10,Feb 2008,28.94
E10,Mar 2008,30.03
E10,Apr 2008,31.36
E10,May 2008,34.19
E10,Jun 2008,36.8
E10,Jul 2008,36.41
E10,Aug 2008,29.34
E10,Sep 2008,28.35
E10,Oct 2008,25.39
E10,Nov 2008,20.64
E10,Dec 2008,17
E10,Jan 2009,17.53
E10,Feb 2009,21.71
E10,Mar 2009,23.39
E10,Apr 2009,25.65
E10,May 2009,26.86
E10,Jun 2009,28.92
E10,Jul 2009,29.39
E10,Aug 2009,31.8
E10,Sep 2009,31.1
E10,Oct 2009,30.48
E10,Nov 2009,31.74
E10,Dec 2009,31.42
E10,Jan 2010,32.32
E10,Feb 2010,32.78
E10,Mar 2010,33.55
E10,Apr 2010,33.9
E10,May 2010,32.6
E10,Jun 2010,31.58
E10,Jul 2010,31.56
E10,Aug 2010,31.72
E10,Sep 2010,30.64
E10,Oct 2010,31.57
E10,Nov 2010,32.31
E10,Dec 2010,33.7
E10,Jan 2011,34.79
E10,Feb 2011,35.8
E10,Mar 2011,37.34
E10,Apr 2011,38.54
E10,May 2011,38.21
E10,Jun 2011,37.51
E10,Jul 2011,38.12
E10,Aug 2011,37.09
E10,Sep 2011,36.35
E10,Oct 2011,36.08
E10,Nov 2011,34.13
E10,Dec 2011,34.23
E10,Jan 2012,36.36
E10,Feb 2012,38.53
E10,Mar 2012,40.02
E10,Apr 2012,40.33
E10,May 2012,38.4
E10,Jun 2012,36.37
E10,Jul 2012,37.14
E10,Aug 2012,38.31
E10,Sep 2012,37.67
E10,Oct 2012,37.71
E10,Nov 2012,37.16
E10,Dec 2012,37.55
E10,Jan 2013,38.1
E10,Feb 2013,39.83
E10,Mar 2013,39.61
E10,Apr 2013,37.83
E10,May 2013,37.58
E10,Jun 2013,38.67
E10,Jul 2013,40.09
E10,Aug 2013,39.45
E10,Sep 2013,39.25
E10,Oct 2013,38.57
E10,Nov 2013,38.78
E10,Dec 2013,39.76
E10,Jan 2014,40.66
E10,Feb 2014,40.53
E10,Mar 2014,40.76
E10,Apr 2014,40.89
E10,May 2014,41.04
E10,Jun 2014,40.86
E10,Jul 2014,40.66
E10,Aug 2014,39.78
E10,Sep 2014,37.8
E10,Oct 2014,36.75
E10,Nov 2014,35
E10,Dec 2014,31.52
E10,Jan 2015,28.04
E10,Feb 2015,28.53
E10,Mar 2015,29.36
E10,Apr 2015,28.11
E10,May 2015,29.08
E10,Jun 2015,29.59
91,Jan 2003,15.8
91,Feb 2003,16.07
91,Mar 2003,15.99
91,Apr 2003,15.86
91,May 2003,15.25
91,Jun 2003,14.41
91,Jul 2003,15.34
91,Aug 2003,16.19
91,Sep 2003,15.44
91,Oct 2003,15.42
91,Nov 2003,15.78
91,Dec 2003,16.26
91,Jan 2004,16.31
91,Feb 2004,16.19
91,Mar 2004,16.19
91,Apr 2004,16.19
91,May 2004,16.67
91,Jun 2004,17.51
91,Jul 2004,18.05
91,Aug 2004,19.94
91,Sep 2004,20.99
91,Oct 2004,21.22
91,Nov 2004,20.82
91,Dec 2004,19.06
91,Jan 2005,18.57
91,Feb 2005,19.3
91,Mar 2005,21.11
91,Apr 2005,21.98
91,May 2005,21.6
91,Jun 2005,22.37
91,Jul 2005,24.75
91,Aug 2005,25.25
91,Sep 2005,26.58
91,Oct 2005,26.38
91,Nov 2005,24.64
91,Dec 2005,24.66
91,Jan 2006,25.92
91,Feb 2006,25.71
91,Mar 2006,26.1
91,Apr 2006,27.22
91,May 2006,28.31
91,Jun 2006,28.89
91,Jul 2006,29.27
91,Aug 2006,28.94
91,Sep 2006,26.08
91,Oct 2006,24.84
91,Nov 2006,24.75
91,Dec 2006,25.39
91,Jan 2007,24.91
91,Feb 2007,24.83
91,Mar 2007,26.54
91,Apr 2007,27.88
91,May 2007,29.19
91,Jun 2007,29.21
91,Jul 2007,29.05
91,Aug 2007,27.73
91,Sep 2007,28.59
91,Oct 2007,29.51
91,Nov 2007,31.04
91,Dec 2007,31.32
91,Jan 2008,31.88
91,Feb 2008,31.84
91,Mar 2008,32.94
91,Apr 2008,34.27
91,May 2008,37.12
91,Jun 2008,40.4
91,Jul 2008,40.9
91,Aug 2008,36.84
91,Sep 2008,35.87
91,Oct 2008,31.9
91,Nov 2008,25.6
91,Dec 2008,21.54
91,Jan 2009,22.07
91,Feb 2009,26.24
91,Mar 2009,27.36
91,Apr 2009,29.45
91,May 2009,30.66
91,Jun 2009,32.72
91,Jul 2009,33
91,Aug 2009,35.4
91,Sep 2009,34.7
91,Oct 2009,34.08
91,Nov 2009,35.34
91,Dec 2009,35.03
91,Jan 2010,35.92
91,Feb 2010,36.38
91,Mar 2010,37.15
91,Apr 2010,37.56
91,May 2010,36.4
91,Jun 2010,35.44
91,Jul 2010,35.37
91,Aug 2010,35.52
91,Sep 2010,34.44
91,Oct 2010,35.35
91,Nov 2010,36.08
91,Dec 2010,37.55
91,Jan 2011,39.06
91,Feb 2011,40.16
91,Mar 2011,42.15
91,Apr 2011,43.44
91,May 2011,43.12
91,Jun 2011,42.41
91,Jul 2011,43.03
91,Aug 2011,40.92
91,Sep 2011,36.28
91,Oct 2011,36.01
91,Nov 2011,35.29
91,Dec 2011,34.73
91,Jan 2012,37.65
91,Feb 2012,39.81
91,Mar 2012,41.85
91,Apr 2012,43.21
91,May 2012,41.9
91,Jun 2012,40.39
91,Jul 2012,41.86
91,Aug 2012,43.53
91,Sep 2012,43.08
91,Oct 2012,43.36
91,Nov 2012,43.38
91,Dec 2012,43.47
91,Jan 2013,44.06
91,Feb 2013,45.76
91,Mar 2013,45.74
91,Apr 2013,0
91,May 2013,0
91,Jun 2013,0
91,Jul 2013,0
91,Aug 2013,0
91,Sep 2013,0
91,Oct 2013,0
91,Nov 2013,0
91,Dec 2013,0
91,Jan 2014,0
91,Feb 2014,0
91,Mar 2014,0
91,Apr 2014,0
91,May 2014,0
91,Jun 2014,0
91,Jul 2014,0
91,Aug 2014,0
91,Sep 2014,0
91,Oct 2014,0
91,Nov 2014,0
91,Dec 2014,0
91,Jan 2015,0
91,Feb 2015,0
91,Mar 2015,0
91,Apr 2015,0
91,May 2015,0
91,Jun 2015,0
E20,Jan 2003,0
E20,Feb 2003,0
E20,Mar 2003,0
E20,Apr 2003,0
E20,May 2003,0
E20,Jun 2003,0
E20,Jul 2003,0
E20,Aug 2003,0
E20,Sep 2003,0
E20,Oct 2003,0
E20,Nov 2003,0
E20,Dec 2003,0
E20,Jan 2004,0
E20,Feb 2004,0
E20,Mar 2004,0
E20,Apr 2004,0
E20,May 2004,0
E20,Jun 2004,0
E20,Jul 2004,0
E20,Aug 2004,0
E20,Sep 2004,0
E20,Oct 2004,0
E20,Nov 2004,0
E20,Dec 2004,0
E20,Jan 2005,0
E20,Feb 2005,0
E20,Mar 2005,0
E20,Apr 2005,0
E20,May 2005,0
E20,Jun 2005,0
E20,Jul 2005,0
E20,Aug 2005,0
E20,Sep 2005,0
E20,Oct 2005,0
E20,Nov 2005,0
E20,Dec 2005,0
E20,Jan 2006,0
E20,Feb 2006,0
E20,Mar 2006,0
E20,Apr 2006,0
E20,May 2006,0
E20,Jun 2006,0
E20,Jul 2006,0
E20,Aug 2006,0
E20,Sep 2006,0
E20,Oct 2006,0
E20,Nov 2006,0
E20,Dec 2006,0
E20,Jan 2007,0
E20,Feb 2007,0
E20,Mar 2007,0
E20,Apr 2007,0
E20,May 2007,0
E20,Jun 2007,0
E20,Jul 2007,0
E20,Aug 2007,0
E20,Sep 2007,0
E20,Oct 2007,0
E20,Nov 2007,0
E20,Dec 2007,0
E20,Jan 2008,27.47
E20,Feb 2008,26.94
E20,Mar 2008,28.01
E20,Apr 2008,29.31
E20,May 2008,32.18
E20,Jun 2008,35.17
E20,Jul 2008,35.1
E20,Aug 2008,28.04
E20,Sep 2008,27.02
E20,Oct 2008,24.25
E20,Nov 2008,19.26
E20,Dec 2008,15.65
E20,Jan 2009,16.16
E20,Feb 2009,20.4
E20,Mar 2009,21.53
E20,Apr 2009,23.35
E20,May 2009,24.54
E20,Jun 2009,26.62
E20,Jul 2009,27.09
E20,Aug 2009,29.48
E20,Sep 2009,28.78
E20,Oct 2009,28.18
E20,Nov 2009,29.44
E20,Dec 2009,29.12
E20,Jan 2010,30.02
E20,Feb 2010,30.48
E20,Mar 2010,31.25
E20,Apr 2010,31.57
E20,May 2010,30.3
E20,Jun 2010,29.34
E20,Jul 2010,29.27
E20,Aug 2010,29.42
E20,Sep 2010,28.34
E20,Oct 2010,29.23
E20,Nov 2010,29.96
E20,Dec 2010,30.3
E20,Jan 2011,31.36
E20,Feb 2011,32.38
E20,Mar 2011,33.91
E20,Apr 2011,35.12
E20,May 2011,34.79
E20,Jun 2011,34.11
E20,Jul 2011,34.68
E20,Aug 2011,33.05
E20,Sep 2011,32.06
E20,Oct 2011,31.95
E20,Nov 2011,31.23
E20,Dec 2011,30.66
E20,Jan 2012,33.59
E20,Feb 2012,35.77
E20,Mar 2012,37.27
E20,Apr 2012,37.58
E20,May 2012,35.49
E20,Jun 2012,32.95
E20,Jul 2012,33.46
E20,Aug 2012,34.74
E20,Sep 2012,34.21
E20,Oct 2012,33.35
E20,Nov 2012,31.69
E20,Dec 2012,32.09
E20,Jan 2013,32.62
E20,Feb 2013,34.33
E20,Mar 2013,34.46
E20,Apr 2013,32.86
E20,May 2013,32.62
E20,Jun 2013,33.71
E20,Jul 2013,35.12
E20,Aug 2013,34.5
E20,Sep 2013,34.34
E20,Oct 2013,33.62
E20,Nov 2013,33.83
E20,Dec 2013,34.8
E20,Jan 2014,35.74
E20,Feb 2014,35.22
E20,Mar 2014,35.81
E20,Apr 2014,35.94
E20,May 2014,36.07
E20,Jun 2014,35.87
E20,Jul 2014,35.68
E20,Aug 2014,34.94
E20,Sep 2014,33.98
E20,Oct 2014,33.11
E20,Nov 2014,31.67
E20,Dec 2014,28.2
E20,Jan 2015,25.12
E20,Feb 2015,25.78
E20,Mar 2015,26.63
E20,Apr 2015,25.83
E20,May 2015,26.86
E20,Jun 2015,27.35